Year,Category,Name,Movie
2023,Best Actress,Michelle Yeoh,Everything Everywhere All at Once
2023,Best Actor,Brendan Fraser,The Whale
2022,Best Actress,Jessica Chastain,The Eyes of Tammy Faye
2022,Best Actor,Will Smith,King Richard
2021,Best Actress,Frances McDormand,Nomadland
2021,Best Actor,Anthony Hopkins,The Father
2020,Best Actress,Renée Zellweger,Judy
2020,Best Actor,Joaquin Phoenix,Joker
2019,Best Actress,Olivia Colman,The Favourite
2019,Best Actor,Rami Malek,Bohemian Rhapsody
2018,Best Actress,Frances McDormand,Three Billboards Outside Ebbing Missouri
2018,Best Actor,Gary Oldman,Darkest Hour
2017,Best Actress,Emma Stone,La La Land
2017,Best Actor,Casey Affleck,Manchester by the Sea
2016,Best Actress,Brie Larson,Room
2016,Best Actor,Leonardo DiCaprio,The Revenant
2015,Best Actress,Julianne Moore,Still Alice
2015,Best Actor,Eddie Redmayne,The Theory of Everything
2014,Best Actress,Cate Blanchett,Blue Jasmine
2014,Best Actor,Matthew McConaughey,Dallas Buyers Club
